Template ID,Name,Stage,Lane,Deal Type,Trigger,Send Mode,Sender,Register,Subject,Body,Variables,Notes,Active
E01,Intake acknowledgment,Inquiry,Direct,Keynote,Website form or inbound email creates a deal,AUTO,Liezel,Formal,Speaking Inquiry,"Hi {{first_name}},

Thanks for reaching out about {{event_name_or_company}}. I've got your note and I'll be back to you within a couple of hours with Ben's availability for {{event_date_or_TBD}}.

Thanks,
Liezel","event_date_or_TBD, event_name_or_company, first_name",The only client-facing auto-send in the sales lane. Goes from Liezel's inbox. 1 hour reply SLA timer starts on send.,TRUE
E01b,Personal first reply with social proof,Inquiry,Direct,Keynote,"Within 1 hour of E01, once the research brief and social-proof resolver have run",DRAFT,Ben,Formal,Your Event,"Hi {{first_name}},

Thanks for thinking of me for {{event_name_or_company}}. {{industry_line}}

{{related_clients_line}}

{{testimonial_quote}}
{{testimonial_attribution}}

Here's a short reel so you can get a feel for the room: {{reel_url}}. {{event_date}} is open on my side and I've placed a soft hold.

Are you free for a short call this week to talk through what you want people walking out with? {{slot_1}} or {{slot_2}} PT?

Thanks,
Ben","event_date, event_name_or_company, first_name, industry_line, reel_url, related_clients_line, slot_1, slot_2, testimonial_attribution, testimonial_quote","The social-proof resolver fills industry_line, related_clients_line (3 to 5 past clients in the same or adjacent industry, most recent first, repeat clients favored), testimonial_quote and testimonial_attribution (one testimonial matched on industry, then format, then recency). Never more than one quote. Bureau lane: sent to the agent with the same proof block. In Launch mode Opus writes the industry_line from the research brief.",TRUE
E02,Bureau hold confirmation,Inquiry,Bureau,Keynote,Agent email extracted into a deal; date is open,DRAFT,Ben,Formal,Hold Confirmed,"Hey {{agent_first}},

{{event_date}} is open and I've placed a hold for {{end_client_or_bureau}}. In-person in {{region}} is typically {{list_fee}} plus travel, rate card attached.

Happy to jump on the call whenever they're ready. Liezel's cc'd for anything logistics.

Thanks,
Ben","agent_first, end_client_or_bureau, event_date, list_fee, region",One hold per date even if the agent has several clients circling. Liezel cc'd.,TRUE
E03,Discovery call scheduling,Qualified,Direct,Keynote,Deal moves to Qualified (capacity check passed),DRAFT,Ben,Formal,Quick Call,"Hi {{first_name}},

I'd love to learn more about {{event_name}} and what you want the room to walk out with before we talk fees.

Are you free for a short call this week? {{slot_1}} or {{slot_2}} PT?

Adding Liezel to help lock a time.

Thanks,
Ben","event_name, first_name, slot_1, slot_2","Ben takes every call. Two named slots, always.",TRUE
E04,Proposal and rate,Qualified,Direct,Keynote,Discovery call held (Fathom summary attached to deal),DRAFT,Ben,Formal,Keynote Details,"Great call today, thanks {{first_name}}.

Here's everything for your committee so nothing waits on me. The in-person fee for {{event_city}} is {{list_fee}} plus a {{travel_stipend}} travel buyout. Speaker reel: {{reel_url}}. A few notes from {{industry}} groups I've worked with: {{testimonials_url}}.

{{tailoring_paragraph}}

How does that land? Happy to talk through what fits your budget.

Best,
Ben","event_city, first_name, industry, list_fee, reel_url, tailoring_paragraph, testimonials_url, travel_stipend","Fee same day, always. tailoring_paragraph is written by the drafts engine from the call notes (one short paragraph, their words back to them). If they gave a budget on the call, the engine swaps in the negotiation line from E04b.",TRUE
E04b,Proposal with budget known,Qualified,Direct,Keynote,Discovery call held and client stated a budget cap,DRAFT,Ben,Formal,Keynote Details,"Great call today, thanks {{first_name}}.

My standard in-person fee is {{list_fee}} plus a {{travel_stipend}} travel buyout. You mentioned {{stated_budget}}. {{flex_reason}} so I've got some flexibility here. Could you commit to {{offer_fee}} all in?

Reel for the committee: {{reel_url}}.

Let me know and Liezel can get the agreement over.

Best,
Ben","first_name, flex_reason, list_fee, offer_fee, reel_url, stated_budget, travel_stipend","Only Ben sets offer_fee. flex_reason is a true anchor (already in the region that week, local to LA, bundling). Pricing is never automated.",TRUE
E05,Soft check-in,Qualified,Direct,Keynote,"Next Action Date passed, first follow-up, no decision date set",DRAFT,Liezel,Formal,Checking In,"Hi {{first_name}},

Hope you had a great weekend. Any word from the team on {{event_date}}?

Thanks,
Liezel","event_date, first_name","Used once, then escalate to E06. Follow-Up Count 0 to 1 is Liezel.",TRUE
E06,Hold release (forcing email),Qualified,Direct,Keynote,"Decision Date passed with no reply, or second unanswered follow-up",DRAFT,Ben,Formal,Your Date,"Hi {{first_name}},

Are you still considering me for {{event_date}}? If not, no problem at all, just let me know and I'll release the hold.

If you're close and need more time, I'm happy to hold it. When are you meeting next?

Thanks,
Ben","event_date, first_name",Follow-Up Count 2+ goes to Ben. Forces an answer either way. Nothing is released until a human marks it.,TRUE
E07,First right of refusal notice,Firm Offer,Direct,Keynote,A later hold on the same date reaches Firm Offer. DRAFT ONLY. Ben resolves the Date Conflict first.,DRAFT,Ben,Formal,Your Hold,"Hi {{first_name}},

Quick heads up. I've had a firm request come in for {{event_date}} and you've had the first hold on that date. I'd love to make yours work.

Can you let me know by {{deadline}} whether you're ready to move to contract? If the timing's not right, no worries at all, just say so and I'll release it.

Thanks,
Ben","deadline, event_date, first_name","Never auto-sent. Ben sees both deals (clients, cities, stage times) before choosing. Sometimes two gigs in one day is doable. deadline is blank until Ben sets it.",TRUE
E08,Contract details request,Closed-Won,Direct,Keynote,Deal marked Closed-Won (direct),DRAFT,Ben,Formal,Agreement,"So glad we're doing this, {{first_name}}.

Liezel, can you please send {{first_name}} the agreement for {{event_date}}? We just need the signer's name and billing address.

Thanks,
Ben","event_date, first_name",Delegation in the open. Liezel cc'd and named.,TRUE
E09,Invoice,Closed-Won,Direct,Keynote,Contract signed,DRAFT,Liezel,Formal,Invoice,"Hi {{first_name}},

Attached is the invoice for Ben's keynote on {{event_date}}. Payment is due on signing and the full amount must be received before the event date. If your AP team needs specific terms, let me know and we will do our best to accommodate.

Thanks,
Liezel","event_date, first_name",Contractual language allowed here (do not / must). Direct lane only. Bureau deals: the bureau invoices.,TRUE
E10,Welcome kit,Closed-Won,Direct,Keynote,"Invoice shared (sequence: Closed-Won, contract signed, invoice shared, then kit)",DRAFT,Ben,Friendly,Welcome Kit,"Hi {{first_name}},

Here's your welcome kit for {{event_date}}: {{kit_url}}. It walks through the pre-event call, AV, logistics, and the day itself.

The one ask right now is the short questionnaire linked inside. It's what I build the keynote from. Can you get it back to me by {{questionnaire_due}}?

Liezel's cc'd for anything logistics. Excited for this one.

Thanks,
Ben","event_date, first_name, kit_url, questionnaire_due","Kit is a hosted page rendered from the deal. Fires after invoice, not at Closed-Won.",TRUE
E11,Welcome kit to agent,Closed-Won,Bureau,Keynote,Bureau confirms booking,DRAFT,Ben,Formal,Welcome Kit,"Hey {{agent_first}},

Welcome kit for {{end_client}} is here: {{kit_url}}. Can you forward it along to the client?

The questionnaire inside is the big one, it's what I build from. Liezel's cc'd for logistics.

Thanks,
Ben","agent_first, end_client, kit_url",Automation stops here on bureau deals. Agent owns client follow-up.,TRUE
E12,Questionnaire link,Pre-Event,Direct,Keynote,Kick-off call booked,AUTO,Liezel,Formal,Pre-Event Questionnaire,"Hi {{first_name}},

Here's the pre-event questionnaire for {{event_date}}: {{questionnaire_url}}. We've filled in what we already know so it should only take about 10 minutes.

Thanks,
Liezel","event_date, first_name, questionnaire_url",Second and last client-facing auto-send. Form is pre-populated from the deal.,TRUE
