client_organization,industry,sub_industry,confidence
PREGIS,Industrial & Energy,Packaging,high
BRIGHTWORTH,Financial Services,Wealth management,high
HMI,Needs review,,low
SEI,Financial Services,Asset management,high
SCRA,Associations & Nonprofits,Industrial trade association (crane & rigging),high
AHTD,Associations & Nonprofits,Industrial distribution association,medium
BRIDGEWAY,Healthcare & Pharma,Behavioral health nonprofit,medium
VPPPA,Associations & Nonprofits,Workplace safety association,high
PERFORM LINE,Technology,Compliance software,medium
HMHS,Healthcare & Pharma,Health solutions,medium
ATD,Associations & Nonprofits,Talent development / HR,high
AHA,Healthcare & Pharma,Hospital association,medium
MPI WEC,Hospitality & Events,Meeting professionals association,high
ONE RESOURCE GROUP,Financial Services,Insurance / financial services,medium
AASCIF,Financial Services,Workers comp insurance funds association,high
TRIMBLE INC.,Technology,Industrial software,high
APWA,Government & Public Sector,Public works association,high
REGION 4,Education & Youth,Education service center,high
IIDA,Associations & Nonprofits,Interior design association,high
FLORIDA HA,Healthcare & Pharma,Hospital association,high
XCentric,Executive Networks (YPO etc.),EO regional event,high
Protective Life,Financial Services,Insurance,high
Stratum,Needs review,,low
Abbot Virtual,Healthcare & Pharma,Medical devices / pharma,medium
Aya Aa Kickoff,Healthcare & Pharma,Healthcare staffing,high
Pink Elephant,Technology,IT service management conference,high
Assetmark,Financial Services,Wealth platform,high
Sei,Financial Services,Asset management,high
Alhi,Hospitality & Events,Luxury hotels association,high
Cigna,Healthcare & Pharma,Health insurance,high
Medirevv,Healthcare & Pharma,Revenue cycle services,high
Awci,Associations & Nonprofits,Construction trade association,high
Aya,Healthcare & Pharma,Healthcare staffing,high
Thrivent,Financial Services,Financial services / insurance,high
Hmhs,Healthcare & Pharma,Health solutions,medium
Deloitte,Professional Services,Consulting / accounting,high
Bridgeway,Healthcare & Pharma,Behavioral health nonprofit,medium
Bcbs Alabama,Healthcare & Pharma,Health insurance,high
Rentokil,Professional Services,Pest control services,medium
Rentokill Virtual Live,Professional Services,Pest control services,medium
Desjardins,Financial Services,Cooperative bank,high
Bmc,Technology,Enterprise software,medium
Pinterest,Technology,Consumer internet,high
Rb Hygene,Retail & Consumer,Consumer goods,high
Deloitte Fireside,Professional Services,Consulting / accounting,high
Moss Adams,Professional Services,Accounting,high
Bd,Healthcare & Pharma,Medical technology,high
Vpppa,Associations & Nonprofits,Workplace safety association,high
Af Group,Financial Services,Workers comp insurance,high
Lincoln President'S Cabinet,Financial Services,Insurance / retirement,high
Lincoln,Financial Services,Insurance / retirement,high
Siemens,Industrial & Energy,Industrial conglomerate,medium
3M,Industrial & Energy,Diversified manufacturing,high
Smps Pre,Associations & Nonprofits,AEC marketing association,high
Smps,Associations & Nonprofits,AEC marketing association,high
Apwa,Government & Public Sector,Public works association,high
Leading Age Fl,Healthcare & Pharma,Senior living association,high
Franchise Update,Retail & Consumer,Franchising media / conference,medium
Ifda,Associations & Nonprofits,Foodservice distribution association,high
Brightworth,Financial Services,Wealth management,high
Aha,Healthcare & Pharma,Hospital association,medium
Aascif,Financial Services,Workers comp insurance funds association,high
Florida Ha,Healthcare & Pharma,Hospital association,high
Sunlife,Financial Services,Insurance,high
Floyd Lee Locums,Healthcare & Pharma,Physician staffing,high
Eo Xcentric,Executive Networks (YPO etc.),EO regional event,high
Equinix,Technology,Data centers,high
Nfda,Associations & Nonprofits,Funeral directors association,high
Starnet Worldwide,Retail & Consumer,Flooring cooperative,medium
Wheels Inc,Industrial & Energy,Fleet management,medium
Cbh,Needs review,,low
Dsoa,Healthcare & Pharma,Dental support organization,low
John Hancock Virtual,Financial Services,Insurance / investments,high
Washington Trust,Financial Services,Bank,high
Bdo,Professional Services,Accounting,high
John Knox,Healthcare & Pharma,Senior living,high
Cihi,Healthcare & Pharma,Health information (Canada),high
Heartland,Executive Networks (YPO etc.),YPO chapter,high
Nghs,Healthcare & Pharma,Health system,high
Grant Thornton,Professional Services,Accounting,high
Sanofi,Healthcare & Pharma,Pharma,high
