industry,client_organization,bookings,last_year,virtual_any
Agriculture,CHS Inc.,1,2025,False
Agriculture,Mosaic,1,2024,False
Associations & Nonprofits,YPO,9,2024,False
Associations & Nonprofits,WALMART,2,2023,True
Associations & Nonprofits,ISACA,2,2022,True
Associations & Nonprofits,Awci,2,2021,False
Associations & Nonprofits,ABMDA (American Building Materials Distributors Association? - distributor group),1,2026,False
Associations & Nonprofits,Foodservice Consultants Society International (FCSI) - the Americas Division,1,2026,False
Associations & Nonprofits,YPO New Jersey,1,2026,False
Associations & Nonprofits,American Water Works Association (AWWA),1,2025,False
Associations & Nonprofits,Blank Rome LLP,1,2025,False
Associations & Nonprofits,Business Development Resources (BDR),1,2025,False
Associations & Nonprofits,YPO (Young Presidents' Organization) - BelAir Chapter,1,2025,False
Associations & Nonprofits,YPO (Young Presidents' Organization) - Ecuador Chapter,1,2025,True
Associations & Nonprofits,YPO (Young Presidents' Organization) - LA Chapter,1,2025,False
Associations & Nonprofits,American Bakers Association (ABA),1,2024,False
Associations & Nonprofits,Experiential Designers and Producers Association (EDPA),1,2024,False
Associations & Nonprofits,Georgia Municipal Association (GMA),1,2024,False
Associations & Nonprofits,"YPO (Bloomington, IL Chapter)",1,2024,False
Associations & Nonprofits,YPO (Dror Geron's chapter/group),1,2024,False
Associations & Nonprofits,YPO (Indianapolis Chapter),1,2024,False
Associations & Nonprofits,YPO (Louisville Chapter),1,2024,False
Associations & Nonprofits,YPO (St. Louis Chapter),1,2024,False
Associations & Nonprofits,YPO LA,1,2024,False
Associations & Nonprofits,YPO Mexico City,1,2024,False
Associations & Nonprofits,BOYS & GIRLS CLUB,1,2023,False
Associations & Nonprofits,CATULPA,1,2023,True
Associations & Nonprofits,ECIA,1,2023,False
Associations & Nonprofits,GREATER OMAHA CHAMBER,1,2023,False
Associations & Nonprofits,PACKAGING DISTRIBUTORS PDA,1,2023,False
Associations & Nonprofits,PDA,1,2023,False
Associations & Nonprofits,TRAFFIC CLUB,1,2023,False
Associations & Nonprofits,YPO BEVERLY,1,2023,False
Associations & Nonprofits,YPO NYC,1,2023,False
Associations & Nonprofits,ABC,1,2022,False
Associations & Nonprofits,ACI,1,2022,False
Associations & Nonprofits,AWCI (R2),1,2022,False
Associations & Nonprofits,ERIN'S HOUSE,1,2022,False
Associations & Nonprofits,FLORIDA HR,1,2022,False
Associations & Nonprofits,HUNT CLUB,1,2022,True
Associations & Nonprofits,NTCA,1,2022,True
Associations & Nonprofits,SCRA (R),1,2022,False
Associations & Nonprofits,SOCIETY FOR HR,1,2022,False
Associations & Nonprofits,Bickerdyke Society,1,2021,False
Associations & Nonprofits,Cpmca,1,2021,False
Associations & Nonprofits,Ifda,1,2021,False
Associations & Nonprofits,Mcaa,1,2021,False
Associations & Nonprofits,Nfda,1,2021,False
Associations & Nonprofits,Smps,1,2021,True
Associations & Nonprofits,Smps Pre,1,2021,True
Associations & Nonprofits,Synnex,1,2021,True
Associations & Nonprofits,Vpppa,1,2021,False
Associations & Nonprofits,AHTD,1,2020,False
Associations & Nonprofits,ATD,1,2020,False
Associations & Nonprofits,BICKERDYKE SOCIETY,1,2020,False
Associations & Nonprofits,CAR WASH ASSOCIATION,1,2020,False
Associations & Nonprofits,IIDA,1,2020,False
Associations & Nonprofits,MEETINGS & CONVENTIONS MAGAZINE,1,2020,False
Associations & Nonprofits,NACAS,1,2020,True
Associations & Nonprofits,SCRA,1,2020,False
Associations & Nonprofits,SITE,1,2020,False
Associations & Nonprofits,VPPPA,1,2020,False
Associations & Nonprofits,ACEC (American Council of Engineering Companies),1,2019,False
Associations & Nonprofits,ASAE (American Society of Association Executives),1,2019,False
Associations & Nonprofits,Flexible Packaging Association,1,2019,False
Building Products,James Hardie,1,2024,False
Education & Youth,Corona-Norco Unified School District,2,2025,False
Education & Youth,Forward Academy,1,2026,False
Education & Youth,Ohio Association of School Business Officials (OASBO),1,2025,False
Education & Youth,Tony Robbins (Trigger Media / student leadership event),1,2025,False
Education & Youth,National School Public Relations Association (NSPRA),1,2024,False
Education & Youth,Paciolan,1,2024,False
Education & Youth,PwC (PricewaterhouseCoopers),1,2024,False
Education & Youth,University of Georgia - Carl Vinson Institute of Government (Georgia General Assembly Biennial Institute),1,2024,False
Education & Youth,ACCESSLEX,1,2023,False
Education & Youth,AcessLex,1,2023,False
Education & Youth,BGCA,1,2023,False
Education & Youth,RUSH UNIVERSITY,1,2023,False
Education & Youth,AOA,1,2022,False
Education & Youth,AWSP,1,2022,False
Education & Youth,BUENA HIGH SCHOOL,1,2022,False
Education & Youth,CASE,1,2022,False
Education & Youth,LearnWell VIRTUAL,1,2022,True
