Testimonial ID,Quote,Name,Title,Company,Industry,Format,Category,Source URL,Active,Short Version
T001,I think what you're doing is truly so inspiring.,Oprah Winfrey,"Talk Show Host, Actress, Producer, and Philanthropist",,Celebrity,,celebrity,https://www.bennemtin.com/testimonials/,TRUE,I think what you're doing is truly so inspiring.
T002,I like the way you help folks. Keep doing what you're doing.,Barack Obama,44th President of the United States,,Celebrity,,celebrity,https://www.bennemtin.com/testimonials/,TRUE,I like the way you help folks. Keep doing what you're doing.
T003,"If you want a lesson in boldness and to cross things off of your bucket list, there is no better teacher than Ben.",Tim Ferriss,"5x #1 NY Times Best seller, Host of The Tim Ferriss Podcast",,Celebrity,,celebrity,https://www.bennemtin.com/testimonials/,TRUE,"If you want a lesson in boldness and to cross things off of your bucket list, there is no better teacher than Ben."
T004,Ben nailed it! Amazing presentation!!,Lilya Crystal,Event Producer,Microsoft,Technology,,client,https://www.bennemtin.com/testimonials/,TRUE,Ben nailed it! Amazing presentation!!
T005,"In 15 years of taking surveys, Ben is the highest rated speaker we have ever had!",Jodi Nordberg,Event Planner,Delta Vacations,Hospitality & Events,,client,https://www.bennemtin.com/testimonials/,TRUE,"In 15 years of taking surveys, Ben is the highest rated speaker we have ever had!"
T006,"You didn't just give a talk; you left us with a new framework for how we show up for ourselves, each other, and what matters. It's rare to see a speaker leave a room so genuinely energized and inspired. Your insights on the intersection of purpose and connection really hit home for me and the rest of the team. We are already seeing a shift in how we talk about our goals and our commitment to self-fulfillment.",Bianca Bradford,"Director, Head of Agency, North America",Meta,Technology,in-person,client,https://www.bennemtin.com/testimonials/,TRUE,"You didn't just give a talk; you left us with a new framework for how we show up for ourselves, each other, and what matters. It's rare to see a speaker leave a room so..."
T007,"Ben unlocks the power of purpose! He aligned our personal goals with our organizational purpose and lifted our team's energy. He left our team with a roadmap to thrive personally and professionally. Since Ben's session, we've been sharing our life goals regularly and supporting each other in achieving them.",Ames McArdle,"Head of Industry, Global Media & Entertainment / Retail",Google,Technology,,client,https://www.bennemtin.com/testimonials/,TRUE,Ben unlocks the power of purpose! He aligned our personal goals with our organizational purpose and lifted our team's energy. He left our team with a roadmap to thrive...
T008,"Ben's keynote & Bucket List Journal inspired, reenergized and motivated the team in an outstanding way. His personal story combined with actionable resources was the perfect combination.",Lina Brouneu,Director of Films Acquisitions,Netflix,Media & Agencies,,client,https://www.bennemtin.com/testimonials/,TRUE,"Ben's keynote & Bucket List Journal inspired, reenergized and motivated the team in an outstanding way. His personal story combined with actionable resources was the perfect..."
T009,Ben has a gift! Our team was so inspired and talked about the impact for days. We know that the ripple effect is real when we dream of what is possible and serve others along the way to create a more beautiful life.,Katherine Twells,Senior VP,The Coca-Cola Company,Retail & Consumer,,client,https://www.bennemtin.com/testimonials/,TRUE,Ben has a gift! Our team was so inspired and talked about the impact for days. We know that the ripple effect is real when we dream of what is possible and serve others along...
T010,Ben's session was an absolute hit! Hands down my favorite session. The way he worked in so much of our messaging and benefits was truly amazing and so impactful.,Kacy Ashley,Senior Communications Manager,Pinterest,Technology,,client,https://www.bennemtin.com/testimonials/,TRUE,Ben's session was an absolute hit! Hands down my favorite session. The way he worked in so much of our messaging and benefits was truly amazing and so impactful.
T011,"Ben was a huge success. His presentation so well aligned with the theme and messaging of the meeting. He does such an amazing job of connecting with the audience, triggering emotions through laughter and tugging on the heart strings. He was so professional and prepared!",Raquel Morales,"Leader in Event Planning, Strategy & Engagement",,Hospitality & Events,,meeting-professional,https://www.bennemtin.com/testimonials/,TRUE,"Ben was a huge success. His presentation so well aligned with the theme and messaging of the meeting. He does such an amazing job of connecting with the audience, triggering..."
T012,Ben lit a fire in our team! The room was buzzing with energy. There was a lasting impact on our team and our leaders left ready to tackle our biggest goals yet. He made our team feel unstoppable.,Katie Potgiesser,Senior Consultant,Kellogg Company,Retail & Consumer,in-person,client,https://www.bennemtin.com/testimonials/,TRUE,Ben lit a fire in our team! The room was buzzing with energy. There was a lasting impact on our team and our leaders left ready to tackle our biggest goals yet. He made our...
T013,"I've received dozens of texts and emails from our partners and managers who expressed that Ben's stories, messages and advice resonated at a time when they are feeling the fatigue of a difficult 2020.",Anthony Waelter,National Managing Partner,Deloitte,Professional Services,virtual,client,https://www.bennemtin.com/testimonials/,TRUE,"I've received dozens of texts and emails from our partners and managers who expressed that Ben's stories, messages and advice resonated at a time when they are feeling the..."
T014,The feedback was overwhelming! I had messages about how moving Ben's presentation was and how meaningful it was to all employees that the company cares about them as a whole person. It was completely different from anything we've done or heard thus far and it beyond exceeded expectations.,Karen Robertson,EVP,Fidelity National Financial,Financial Services,,client,https://www.bennemtin.com/testimonials/,TRUE,The feedback was overwhelming! I had messages about how moving Ben's presentation was and how meaningful it was to all employees that the company cares about them as a whole...
T015,"With firsthand experience and engaging storytelling, Ben will inspire you to dream big, identify what truly matters and go after your goals with tenacity. He was the highest rated speaker we've welcomed in a very long time and everyone left with actionable takeaways.",Kerrie Shakespeare,Chief Purpose Officer,O2E Brands,Retail & Consumer,,client,https://www.bennemtin.com/testimonials/,TRUE,"With firsthand experience and engaging storytelling, Ben will inspire you to dream big, identify what truly matters and go after your goals with tenacity. He was the highest..."
T016,"I want to thank you a thousand times over for such a powerful, inspiring, thought-provoking, uplifting, funny, kind, heartfelt, transparent, generous and kind talk to the TD group of corporate colleagues.",Kathy Salazar,Senior Manager,TD Bank Group,Financial Services,,client,https://www.bennemtin.com/testimonials/,TRUE,"I want to thank you a thousand times over for such a powerful, inspiring, thought-provoking, uplifting, funny, kind, heartfelt, transparent, generous and kind talk to the TD..."
T017,"I have never experienced a keynote speaker so seamlessly weave in small, but meaningful, tie-ins to our business and industry without feeling forced or unauthentic. Ben's virtual keynote not only captivated the attention of our audience but evoked intense emotional responses that left everyone feeling motivated and inspired.",Emma Bica,Event Marketing,Trimble,Technology,virtual,client,https://www.bennemtin.com/testimonials/,TRUE,"I have never experienced a keynote speaker so seamlessly weave in small, but meaningful, tie-ins to our business and industry without feeling forced or unauthentic. Ben's..."
